"","Program","Study","Published","Year","Table","IndependentEvaluator","Topic","Design","Grade","Grade.Band","Duration","Duration.Band","Non-US","Low.SES","High.Minority","Treatment.Cluster","Control.Cluster","Total.Cluster","Treatment.N","Control.N","Outcome.Domain","Posttest","Group","Effect.Size","ESId","StudyID","ProgramID","Clustered","Randomized","journal","NCES","Upper","Lower","Mixed","Dur.One","Dur.Less","Dur.More","old","minority.high","minority.low","minority.nr","ses.high","ses.low","ses.nr","outcome.achieve","outcome.comprehension","outcome.alphabetics","outcome.fluency","comp.assist","benchmark","supp.curric","pd","coop.learn","curr.instruct","sel","core.basal","early.child","cluster","student"
"376","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Achievement","State Reading Test","4",-0.13,376,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"377","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Alphabetics","Gates MacGinitie
Vocabulary","4",-0.05,377,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"378","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Alphabetics","Gates MacGinitie
Vocabulary","5",0.05,378,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"379","Success for All","Ross & Casey (1998b)","0",1998,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","2 years","More than 1 year",NA,"Y","N",3,5,NA,151,205,"Comprehension","Woodcock
Passage Comprehension",NA,0.14,379,73,57,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"380","Success for All","Ross & Casey (1998b)","0",1998,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","2 years","More than 1 year",NA,"Y","N",3,5,NA,151,205,"Alphabetics","Woodcock
Word Identification",NA,0.22,380,73,57,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"381","Success for All","Ross & Casey (1998b)","0",1998,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","2 years","More than 1 year",NA,"Y","N",3,5,NA,151,205,"Comprehension","Durrell Oral",NA,0.19,381,73,57,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"382","Success for All","Ross & Casey (1998b)","0",1998,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","2 years","More than 1 year",NA,"Y","N",3,5,NA,151,205,"Alphabetics","Woodcock
Word Attack",NA,0.46,382,73,57,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"383","Success for All","Ross, Wang, Sanders & Wright (1999)","0",1999,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","3-5","Upper","3 years","More than 1 year",NA,"Y","Y",8,33,NA,2328,9603,"Comprehension","Terra Nova or CTBS-5",NA,0.72,383,74,57,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"385","Success in Sight","Wilkerson, Shannon, Styers, & Grant (2012)","NCEE",2012,"7",NA,"Teacher-Focused Intervention","Cluster randomized","3-5","Upper","2 years","More than 1 year",NA,"N","N",26,26,NA,4403,3779,"Achievement","State standardized tests",NA,-0.01,385,75,58,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"388","SuccessMaker","Gatti, G. G. (2011). Pearson SuccessMaker","0",2011,"3",NA,"Supplemental Curricula","Cluster randomized","3, 5","Upper","1 year","One year",NA,"N","N",24,23,NA,352,267,"Comprehension","GRADE","3",0.16,388,76,59,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"389","SuccessMaker","Gatti, G. G. (2011). Pearson SuccessMaker","0",2011,"3",NA,"Supplemental Curricula","Cluster randomized","3, 5","Upper","1 year","One year",NA,"N","N",24,23,NA,342,299,"Comprehension","GRADE","5",0.06,389,76,59,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"398","Teacher Study Group","Gersten et al. (2010)","1",2010,"7",NA,"Teacher-Focused Intervention","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",10,9,NA,217,251,"Alphabetics","WDRB: LWID",NA,0.21,398,77,61,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"399","Teacher Study Group","Gersten et al. (2010)","1",2010,"7",NA,"Teacher-Focused Intervention","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",10,9,NA,217,251,"Comprehension","WDRB: Passage Comprehension",NA,0.13,399,77,61,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"400","Teacher Study Group","Gersten et al. (2010)","1",2010,"7",NA,"Teacher-Focused Intervention","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",10,9,NA,217,251,"Alphabetics","WDRB
Word Attack",NA,0.13,400,77,61,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"401","Teacher Study Group","Gersten et al. (2010)","1",2010,"7",NA,"Teacher-Focused Intervention","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",10,9,NA,217,251,"Alphabetics","WDRB: Reading Vocabulary",NA,0.21,401,77,61,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"413","Waterford Early Reading Program","Campuzano et al. (2009)","NCEE",2009,"3",NA,"Supplemental Curricula","Cluster randomized","1","Lower","1 year","One year","0","N","N",11,9,NA,689,466,"Achievement","SAT-10",NA,0.02,413,78,63,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"415","Waterford Early Reading Program","Magnolia (2012)","0",2012,"3",NA,"Supplemental Curricula","Cluster randomized","k,1,2","Lower","2 years","More than 1 year",NA,"N","N",33,24,NA,447,282,"Achievement","SAT-10",NA,0.11,415,79,63,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
