"","Program","Study","Published","Year","Table","IndependentEvaluator","Topic","Design","Grade","Grade.Band","Duration","Duration.Band","Non-US","Low.SES","High.Minority","Treatment.Cluster","Control.Cluster","Total.Cluster","Treatment.N","Control.N","Outcome.Domain","Posttest","Group","Effect.Size","ESId","StudyID","ProgramID","Clustered","Randomized","journal","NCES","Upper","Lower","Mixed","Dur.One","Dur.Less","Dur.More","old","minority.high","minority.low","minority.nr","ses.high","ses.low","ses.nr","outcome.achieve","outcome.comprehension","outcome.alphabetics","outcome.fluency","comp.assist","benchmark","supp.curric","pd","coop.learn","curr.instruct","sel","core.basal","early.child","cluster","student"
"295","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",12,11,NA,184,151,"Comprehension","GRADE - Passage Comprehension","4-5",-0.08,295,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"296","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",14,13,NA,149,160,"Comprehension","GRADE - Word Reading","1-2",0.01,296,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"297","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",14,13,NA,149,160,"Comprehension","GRADE - Passage Comprehension","1-2",-0.05,297,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"298","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",13,11,NA,159,122,"Comprehension","GRADE - Word Meaning","K-1",0.04,298,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"299","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",13,11,NA,158,122,"Alphabetics","DIBELS - Nonsense Word Fluency","K-1",-0.18,299,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"300","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",14,13,NA,149,160,"Comprehension","GRADE - Word Meaning","1-2",-0.32,300,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"301","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",13,11,NA,158,122,"Alphabetics","DIBELS - Phoneme Segmentation","K-1",0.35,301,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"302","Reading Street","Gatti, G. G. (2011). Pearson Reading Street","0",2011,"1",NA,"Core Basal Program","Cluster randomized","K-5","Mixed","2 years","More than 1 year","0","N","N",12,11,NA,184,150,"Fluency","DIBELS - Oral Reading Fluency","4-5",-0.03,302,59,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"303","Reading Street","Wilkerson, S. B., Shannon, L. C., & Herman, T.L. (2007)","0",2007,"1",NA,"Core Basal Program","Cluster randomized","1-3","Mixed","1 year","One year",NA,"N","N",30,27,NA,642,565,"Achievement","GMRT",NA,0,303,60,52,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"304","Reading Street","Wilkerson, Shannon, & Herman. (2006)","0",2006,"1",NA,"Core Basal Program","Cluster randomized","1-3","Mixed","1 year","One year",NA,"N","N",24,24,NA,488,456,"Achievement","GMRT",NA,-0.12,304,61,52,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"317","Rigby Literacy Program","Wilkerson, S. B. (2004)","0",2004,"1",NA,"Core Basal Program","Cluster quasi-experiment","2,4","Mixed","32 weeks","One year",NA,"Y","Y",2,2,NA,245,227,"Achievement","GMRT-4",NA,-0.23,317,62,53,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"320","Saxon Phonics and Spelling","Resendez, M. & Azin, M. (2007)","0",2007,"3",NA,"Supplemental Curricula","Cluster randomized","1,2","Lower","1 year","One year",NA,"N","N",18,17,NA,360,308,"Achievement","ITBS - Word Analysis","1 & 2",0.1,320,63,54,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"321","Saxon Phonics and Spelling","Resendez, M. & Azin, M. (2007)","0",2007,"3",NA,"Supplemental Curricula","Cluster randomized","1,2","Lower","1 year","One year",NA,"N","N",18,17,NA,164,164,"Alphabetics","ITBS Reading Words","1",-0.03,321,63,54,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"322","Scholastic Phonics Readers/ Literacy Place","Schultz, L. (1996)","0",1996,"1",NA,"Core Basal Program","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",4,4,NA,162,139,"Achievement","CTBS - Reading",NA,0.07,322,64,55,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"323","Scholastic Phonics Readers/ Literacy Place","Schultz, L. (1996)","0",1996,"1",NA,"Core Basal Program","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",4,4,NA,162,139,"Comprehension","CTBS - Comprehension",NA,0.21,323,64,55,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"324","Scholastic Phonics Readers/ Literacy Place","Schultz, L. (1996)","0",1996,"1",NA,"Core Basal Program","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",4,4,NA,162,139,"Alphabetics","CTBS - Vocabulary",NA,0.11,324,64,55,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"325","Scholastic Phonics Readers/ Literacy Place","Schultz, L. (1996)","0",1996,"1",NA,"Core Basal Program","Cluster randomized","1","Lower","1 year","One year",NA,"NR","NR",4,4,NA,162,139,"Achievement","CTBS - Word Analysis",NA,0.23,325,64,55,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"334","SPARK","Jones et al. (2015)","0",2015,"3",NA,"Supplemental Curricula","Student randomized","k-2","Lower","2 years","More than 1 year",NA,"Y","Y",NA,NA,NA,195,194,"Achievement","MAP",NA,0.23,334,65,56,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"335","SPARK","Jones et al. (2015)","0",2015,"3",NA,"Supplemental Curricula","Student randomized","k-2","Lower","2 years","More than 1 year",NA,"Y","Y",NA,NA,NA,195,194,"Alphabetics","PALS",NA,0.35,335,65,56,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"345","Success for All","Borman et al. (2007)","1",2007,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","K-2","Lower","3 years","More than 1 year","0","N","N",18,17,NA,1085,1023,"Alphabetics","Woodcock
Word Identification",NA,0.22,345,66,57,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"346","Success for All","Borman et al. (2007)","1",2007,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","K-2","Lower","3 years","More than 1 year","0","N","N",18,17,NA,1085,1023,"Comprehension","Woodcock Passage Comprehension",NA,0.21,346,66,57,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"347","Success for All","Borman et al. (2007)","1",2007,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","K-2","Lower","3 years","More than 1 year","0","N","N",18,17,NA,1085,1023,"Alphabetics","Woodcock Word Attack",NA,0.33,347,66,57,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"348","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,125,136,"Alphabetics","Woodcock Reading Mastery Test
Word Attack","K",0.27,348,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"349","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,184,132,"Alphabetics","Woodcock Reading Mastery Test
Letter ID","1",0.12,349,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"350","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,125,136,"Alphabetics","Woodcock Reading Mastery Test
Letter ID","K",0.05,350,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"351","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,125,136,"Comprehension","Woodcock Reading Mastery Test
Passage comprehension","K",0.3,351,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"352","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,184,132,"Alphabetics","Woodcock Reading Mastery Test
Word Attack","1",0.53,352,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"353","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,184,132,"Comprehension","Woodcock Reading Mastery Test
Passage comprehension","1",0.29,353,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"354","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,184,132,"Alphabetics","Woodcock Reading Mastery Test
Word ID","1",0.35,354,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"355","Success for All","Chambers et al. (2005)","0",2005,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-1","Lower","1 year","One year","0","Y","Y",4,4,NA,125,136,"Alphabetics","Woodcock Reading Mastery Test
Word ID","K",0.52,355,67,57,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"356","Success for All","Correnti (2009)","SREE",2009,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-2
3-5","Mixed","2 years
(2 cohorts)","More than 1 year","0","N","N",30,26,NA,3600,3120,"Comprehension","Terra Nova",NA,0.4,356,68,57,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"358","Success for All","Livingston & Flaherty (1997)
(additional source: Dianda & Flaherty (1995))","0",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-3","Mixed","2-4 years","More than 1 year",NA,"N","N",3,3,NA,133,134,"Achievement","Average of Woodcock and DORT:
2 years (K-1)","2 Years (K-1)",0.58,358,69,57,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"359","Success for All","Livingston & Flaherty (1997)
(additional source: Dianda & Flaherty (1995))","0",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-3","Mixed","2-4 years","More than 1 year",NA,"N","N",3,3,NA,153,136,"Achievement","Average of Woodcock and DORT:
4 years (K-3)","4 years (K-3)",0.1,359,69,57,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"360","Success for All","Livingston & Flaherty (1997)
(additional source: Dianda & Flaherty (1995))","0",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","K-3","Mixed","2-4 years","More than 1 year",NA,"N","N",3,3,NA,153,119,"Achievement","Average of Woodcock and DORT:
3 years (K-2)","3 Years (K-2)",0.43,360,69,57,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"361","Success for All","Madden et al. (1993)","1",1993,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","1-3","Mixed","3 years","More than 1 year",NA,"Y","Y",5,5,NA,684,684,"Achievement","Average of Woodcock and DORT",NA,0.56,361,70,57,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"362","Success for All","Nunnery et al. (1997)","AERA",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","1","Lower","2 years","More than 1 year",NA,"Y","Y",46,18,NA,298,297,"Alphabetics","Woodcock
Word Attack",NA,-0.12,362,71,57,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"363","Success for All","Nunnery et al. (1997)","AERA",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","1","Lower","2 years","More than 1 year",NA,"Y","Y",46,18,NA,298,297,"Comprehension","Woodcock
Passage Comprehension",NA,-0.15,363,71,57,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"364","Success for All","Nunnery et al. (1997)","AERA",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","1","Lower","2 years","More than 1 year",NA,"Y","Y",46,18,NA,298,297,"Fluency","Woodcock
DORT",NA,0.02,364,71,57,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"365","Success for All","Nunnery et al. (1997)","AERA",1997,"5",NA,"Curriculum & Instructional Process Program","Cluster quasi-experiment","1","Lower","2 years","More than 1 year",NA,"Y","Y",46,18,NA,298,297,"Alphabetics","Woodcock
Word Identification",NA,-0.13,365,71,57,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"366","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,854,781,"Alphabetics","Woodcock Word Attack",NA,0.15,366,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"367","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,854,781,"Comprehension","Passage Comprehension",NA,0.03,367,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"368","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,854,781,"Alphabetics","TOWRE",NA,0.07,368,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"369","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Comprehension","Gates MacGinitie
Comprehension","4",-0.05,369,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"370","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,854,781,"Alphabetics","Woodcock
Letter-Word Identification",NA,0.07,370,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"371","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Achievement","State Reading Test","5",-0.02,371,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"372","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Alphabetics","Gates MacGinitie
Vocabulary","3",0.01,372,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"373","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Comprehension","Gates MacGinitie
Comprehension","3",0.03,373,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"374","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Comprehension","Gates MacGinitie
Comprehension","5",0,374,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"375","Success for All","Quint et al. (2015)","0",2015,"5",NA,"Curriculum & Instructional Process Program","Cluster randomized","3-5","Upper","3 years","More than 1 year",NA,"N","Y",19,18,NA,4099,3829,"Achievement","State Reading Test","3",-0.02,375,72,57,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
